,Focal.Letter,Social.Partner,Treatment.Period,Group.ID.Populations,Treatment,num_interactions,ordered.pair.period,scans.where.at.least.1.seen,SRI
135,AH,ZS,2,C1,Control,5,AH_ZS_2,47,0.106382979
136,AH,ZT,1,C1,Control,2,AH_ZT_1,45,0.044444444
137,AH,ZT,2,C1,Control,5,AH_ZT_2,48,0.104166667
138,AH,ZU,1,C1,Control,1,AH_ZU_1,46,0.02173913
139,AH,ZU,2,C1,Control,1,AH_ZU_2,47,0.021276596
140,AH,ZX,2,C1,Control,3,AH_ZX_2,45,0.066666667
141,AH,ZZ,1,C1,Control,2,AH_ZZ_1,47,0.042553191
142,AH,ZZ,2,C1,Control,7,AH_ZZ_2,47,0.14893617
143,AK,AC,1,C1,Control,2,AC_AK_1,44,0.045454545
144,AK,AC,2,C1,Control,1,AC_AK_2,46,0.02173913
145,AK,AD,2,C1,Control,1,AD_AK_2,47,0.021276596
146,AK,AE,2,C1,Control,1,AE_AK_2,48,0.020833333
147,AK,AL,2,C1,Control,2,AK_AL_2,47,0.042553191
148,AK,AM,2,C1,Control,1,AK_AM_2,48,0.020833333
149,AK,AO,2,C1,Control,1,AK_AO_2,48,0.020833333
150,AK,AP,1,C1,Control,1,AK_AP_1,46,0.02173913
151,AK,AT,2,C1,Control,2,AK_AT_2,48,0.041666667
152,AK,AU,2,C1,Control,1,AK_AU_2,48,0.020833333
153,AK,AX,2,C1,Control,1,AK_AX_2,48,0.020833333
